year,month,rainfall_mm
1997,1,12.5
1997,2,0.0
1997,3,0.0
1997,4,8.48
1997,5,0.0
1997,6,46.84
1997,7,41.76
1997,8,96.88
1997,9,108.38
1997,10,118.85
1997,11,580.59
1997,12,230.2
1998,1,2.76
1998,2,0.0
1998,3,2.21
1998,4,16.84
1998,5,13.53
1998,6,33.23
1998,7,61.09
1998,8,114.99
1998,9,93.13
1998,10,200.13
1998,11,296.35
1998,12,94.03
1999,1,11.87
1999,2,0.11
1999,3,0.0
1999,4,6.05
1999,5,19.68
1999,6,68.24
1999,7,20.69
1999,8,82.42
1999,9,88.08
1999,10,258.04
1999,11,192.81
1999,12,34.2
2000,1,0.36
2000,2,193.93
2000,3,10.44
2000,4,23.32
2000,5,8.84
2000,6,51.2
2000,7,63.02
2000,8,80.48
2000,9,76.37
2000,10,104.46
2000,11,41.19
2000,12,37.43
2001,1,6.29
2001,2,0.0
2001,3,0.0
2001,4,88.7
2001,5,10.85
2001,6,32.0
2001,7,1.78
2001,8,2.29
2001,9,7.64
2001,10,12.81
2001,11,97.27
2001,12,30.99
2002,1,40.46
2002,2,2.62
2002,3,0.0
2002,4,0.0
2002,5,26.64
2002,6,18.75
2002,7,65.67
2002,8,124.3
2002,9,89.17
2002,10,241.09
2002,11,96.52
2002,12,8.29
2003,1,0.0
2003,2,0.0
2003,3,1.72
2003,4,0.0
2003,5,0.14
2003,6,6.35
2003,7,27.99
2003,8,38.86
2003,9,42.79
2003,10,41.3
2003,11,23.42
2003,12,21.45
2004,1,15.87
2004,2,0.0
2004,3,0.0
2004,4,0.63
2004,5,148.77
2004,6,18.78
2004,7,44.81
2004,8,38.57
2004,9,250.12
2004,10,279.57
2004,11,300.19
2004,12,4.18
2005,1,0.51
2005,2,2.18
2005,3,2.26
2005,4,97.67
2005,5,23.86
2005,6,19.83
2005,7,100.08
2005,8,97.12
2005,9,161.55
2005,10,855.17
2005,11,539.39
2005,12,438.69
2006,1,1.03
2006,2,0.0
2006,3,6.93
2006,4,14.49
2006,5,11.17
2006,6,63.52
2006,7,63.95
2006,8,120.4
2006,9,151.35
2006,10,490.4
2006,11,278.29
2006,12,28.63
2007,1,0.0
2007,2,7.63
2007,3,0.0
2007,4,1.36
2007,5,21.82
2007,6,79.35
2007,7,195.89
2007,8,228.12
2007,9,118.92
2007,10,274.18
2007,11,91.19
2007,12,264.32
2008,1,71.33
2008,2,7.73
2008,3,132.52
2008,4,9.35
2008,5,0.76
2008,6,89.9
2008,7,52.84
2008,8,130.39
2008,9,128.86
2008,10,357.31
2008,11,545.54
2008,12,12.3
2009,1,11.61
2009,2,0.0
2009,3,1.97
2009,4,0.0
2009,5,12.47
2009,6,66.34
2009,7,37.6
2009,8,113.07
2009,9,114.82
2009,10,61.12
2009,11,578.21
2009,12,191.12
2010,1,1.23
2010,2,0.12
2010,3,0.0
2010,4,0.0
2010,5,193.98
2010,6,130.47
2010,7,247.11
2010,8,329.73
2010,9,178.25
2010,10,219.65
2010,11,230.72
2010,12,288.83
2011,1,11.63
2011,2,87.64
2011,3,0.0
2011,4,54.29
2011,5,10.95
2011,6,73.99
2011,7,137.47
2011,8,202.76
2011,9,106.87
2011,10,185.98
2011,11,413.29
2011,12,147.47
2012,1,6.14
2012,2,0.0
2012,3,2.28
2012,4,42.25
2012,5,6.34
2012,6,66.06
2012,7,100.68
2012,8,107.74
2012,9,132.28
2012,10,280.46
2012,11,153.19
2012,12,273.63
2013,1,0.0
2013,2,28.34
2013,3,17.69
2013,4,0.92
2013,5,2.64
2013,6,95.22
2013,7,144.3
2013,8,144.96
2013,9,224.95
2013,10,196.31
2013,11,111.94
2013,12,47.81
2014,1,0.0
2014,2,3.31
2014,3,0.0
2014,4,0.0
2014,5,11.02
2014,6,77.59
2014,7,80.33
2014,8,142.32
2014,9,114.78
2014,10,310.8
2014,11,215.0
2014,12,142.54
2015,1,2.13
2015,2,0.0
2015,3,0.0
2015,4,47.12
2015,5,38.05
2015,6,40.87
2015,7,203.72
2015,8,139.87
2015,9,97.2
2015,10,183.66
2015,11,1051.92
2015,12,506.55
2016,1,0.42
2016,2,0.0
2016,3,0.0
2016,4,0.0
2016,5,216.83
2016,6,133.14
2016,7,41.26
2016,8,24.52
2016,9,264.68
2016,10,16.41
2016,11,73.85
2016,12,219.92
2017,1,3.41
2017,2,0.0
2017,3,0.0
2017,4,0.0
2017,5,14.09
2017,6,68.55
2017,7,110.65
2017,8,322.06
2017,9,122.0
2017,10,330.93
2017,11,538.2
2017,12,61.7
2018,1,0.54
2018,2,0.0
2018,3,2.73
2018,4,0.0
2018,5,0.0
2018,6,28.0
2018,7,49.59
2018,8,136.17
2018,9,26.49
2018,10,171.82
2018,11,167.7
2018,12,23.99
2019,1,0.0
2019,2,1.05
2019,3,0.0
2019,4,0.83
2019,5,0.0
2019,6,18.96
2019,7,108.37
2019,8,170.48
2019,9,207.49
2019,10,369.64
2019,11,97.74
2019,12,208.67
2020,1,44.88
2020,2,0.21
2020,3,0.0
2020,4,16.31
2020,5,0.0
2020,6,24.15
2020,7,87.05
2020,8,75.44
2020,9,162.25
2020,10,253.0
2020,11,438.8
2020,12,208.76
2021,1,122.19
2021,2,7.44
2021,3,0.0
2021,4,19.38
2021,5,11.48
2021,6,43.41
2021,7,260.44
2021,8,185.5
2021,9,93.66
2021,10,228.63
2021,11,1061.64
2021,12,123.61
